Customer ID,first_date,first_value,days_since_first_order,value_tier,recommended_offer
313956167f82ffd9bcca4d100cdacf6258d58e0f62055a293f342249c94175c5,2024-10-23 11:25:00,12663.0,100,High,250.0
3c0af496160841653afdb557b0b7af062131627d29f531cebf2ed8f54a3d0b29,2024-11-18 11:53:00,6939.45,74,High,250.0
b449a4f943655e514b18348cbc55f276214865597b388bab7037adc913cf0576,2024-10-31 00:57:00,6531.0,92,High,250.0
be8f0c9ca87a87f4d408ed6186ec50f32aef69eac6e699d72dfe562f8b90e1dd,2024-11-14 11:21:00,5777.1,78,High,250.0
5a3eeb20b0d64a593749f13ae0ea5f1829d204254e26b3be896e632ea67875cb,2024-10-25 13:57:00,5080.95,98,High,250.0
d64ce55ea25b56ebdf878c14fbbdc0dc9379b3e3e0a32a9acd0a740f83562965,2024-11-09 13:07:00,4960.57,83,High,250.0
650325b3309abfa25086302a61b566b3fa85edccd3827dc566f6be1862acaefa,2024-11-05 11:18:00,4919.96,87,High,250.0
c39c03fd6c32ce8301bd367f050b73281841a21994404d82f7bbd6ad83eea2a4,2024-11-30 21:26:00,4020.98,62,High,250.0
1a524e44c98252d3dc01799077282de03f3dbe46b47c1e0918a702d2bb90e143,2024-10-11 12:51:00,3992.1,112,High,250.0
87c2cfec44c521d6ab12913d7669732b397829dae34deed9137eaad2c2139585,2024-09-25 20:27:00,3667.65,128,High,250.0
d3c875b1cf68002ce12cdace8e822471bfcfb8925f4ac65ca053fe69c7bccde2,2024-09-30 00:36:00,3521.75,123,High,250.0
ac55cafa8b685ab06838c9fd563085232d00953603dbba4e075bbf281908d75b,2024-11-16 21:35:00,3479.7,76,High,250.0
56bfb0640a49944005a152055bb46341f209885a921b230fae855adc7a73e80b,2024-10-27 21:16:00,3365.25,96,High,250.0
4206e82217dfd851601f9e6f5ac63c89ee7bbb4d16337a061a7433456a2a4efb,2024-11-20 20:09:00,3345.3,72,High,250.0
1b34873cb7038879cd4134b2a881f7e4fef4ee253b5f5d72a8490bb11fa8ac83,2024-11-10 00:38:00,3320.1,82,High,250.0
55198b1670bbc62d203cd927874ec7a7252121c83d0892859f6e6f7617aae0e8,2024-10-30 13:34:00,3292.8,93,High,250.0
2ce93bccd457a45e3b8a93a2a0f8d8f56f05acdb4e2e010323456dcc8032cbca,2024-10-08 23:07:00,3276.0,115,High,250.0
8ef564b77c5021b143932a98e8fa2fa04fa3c6a1e10288d6416588eeb0ad09d1,2024-11-17 21:06:00,3227.7,75,High,250.0
a3ebf2534825fa1ff119cd6e27ddd64321fdad9a99eb403f9fa1be2f1c594fbd,2024-11-03 17:15:00,3123.75,89,High,250.0
648367ba53766c03a31012c707447432592dc54fad0cf959b74fdfd36dfb7d47,2024-09-19 11:45:00,3093.3,134,High,250.0
c90520fdef27d92533ce86b6e8e2585f775b24c54b6cdf8a35764c58d7a801fb,2024-10-11 19:13:00,3087.67,112,High,250.0
0414cb5abf526098e5ff74db777c70ed085d8f25e3aafa38284f8556261cff6a,2024-11-28 14:22:00,3028.2,64,High,250.0
5a833c9203dd853da624c5ea151a220e448d19a32ecd4cdecb2bd63f023f6645,2024-11-25 13:02:00,2903.25,67,High,250.0
9a37a53aabe83e204942c3a2e2424e1f983a2742223d1c4ce71722ad01a7b04a,2024-11-13 19:36:00,2854.95,79,High,250.0
